stt,mssv,name,gk,ck,other,average
0,160000,Marc Long,8,9,5,7.33
1,160001,Michael Klein,7,10,6,7.67
2,160002,Theresa Richardson,9,9,9,9.0
3,160003,Terry Davis,4,10,9,7.67
4,160004,Deborah Taylor,8,4,4,5.33
5,160005,Tammy Higgins,7,9,3,6.33
6,160006,Stephanie Meza,6,3,2,3.67
7,160007,Stephanie Henson,9,8,6,7.67
8,160008,Allison Kelly,2,4,9,5.0
9,160009,Brittany Walker,7,10,6,7.67
10,160010,James Rodriguez,6,3,2,3.67
11,160011,Benjamin Horton,4,10,5,6.33
12,160012,Amber Knight,2,7,9,6.0
13,160013,Jordan Barajas,10,3,2,5.0
14,160014,Jack Macias,10,2,10,7.33
15,160015,Leah Weber,6,10,9,8.33
16,160016,Edward Cooper,2,6,10,6.0
17,160017,Mary Ray,8,7,5,6.67
18,160018,Sarah Wright,7,8,7,7.33
19,160019,Sheri Vasquez,7,4,8,6.33
20,160020,Dalton West,9,4,10,7.67
21,160021,Beverly Young,3,3,2,2.67
22,160022,Keith Lang,3,2,7,4.0
23,160023,Sandra Reese,7,7,6,6.67
24,160024,Jessica Mercado,4,10,8,7.33
25,160025,Samuel Young,4,2,5,3.67
26,160026,Terri Irwin,3,10,7,6.67
27,160027,Zachary Carter,9,10,10,9.67
28,160028,Pamela Espinoza,6,10,6,7.33
29,160029,Evan Bush,9,8,5,7.33
30,160030,Ruben Thornton,4,3,10,5.67
31,160031,Nathaniel Wilson,6,4,10,6.67
32,160032,Stephanie Garcia,9,6,9,8.0
33,160033,Joshua Rodriguez,8,6,6,6.67
34,160034,Lee Ramirez,9,8,6,7.67
35,160035,Lindsay Rodriguez,10,6,5,7.0
36,160036,Lawrence Robertson,5,7,7,6.33
37,160037,Hannah Thomas,6,2,2,3.33
38,160038,Gavin Hopkins,10,4,3,5.67
39,160039,Beth Nelson,9,3,3,5.0
40,160040,Sarah Sanchez,9,9,3,7.0
41,160041,Megan Singleton,9,7,6,7.33
42,160042,Brian Jones,8,4,3,5.0
43,160043,Jesus Bean,7,10,10,9.0
44,160044,Edward Cole,8,6,7,7.0
45,160045,Javier Cain,3,2,5,3.33
46,160046,Laura Stewart DVM,9,3,6,6.0
47,160047,Henry Villanueva,10,10,3,7.67
48,160048,Roberto Jackson,10,2,7,6.33
49,160049,Richard Lutz,8,6,3,5.67
50,160050,Terri Smith,4,9,7,6.67
51,160051,Brian Tucker,3,10,3,5.33
52,160052,Michael Stafford,5,5,5,5.0
53,160053,Mark Taylor,9,8,5,7.33
54,160054,Pamela Colon,3,6,9,6.0
55,160055,Randy Webb,5,7,9,7.0
56,160056,Kimberly Hall,2,2,3,2.33
57,160057,Kathleen Davis,8,7,2,5.67
58,160058,Gregory Knox,6,9,9,8.0
59,160059,Adam Gonzalez,7,7,5,6.33
60,160060,Elizabeth Warner,6,2,7,5.0
61,160061,Jacob Cooper,7,10,8,8.33
62,160062,Erin Graham,7,10,2,6.33
63,160063,Todd Hernandez,5,9,9,7.67
64,160064,Cameron Johnson,3,10,5,6.0
65,160065,Rachel Branch,2,10,9,7.0
66,160066,Michelle Chen,4,2,9,5.0
67,160067,Andrew Burke,4,3,7,4.67
68,160068,Terry Ross,6,9,4,6.33
69,160069,Dalton Boyd,8,2,7,5.67
70,160070,Dennis Park,3,8,8,6.33
71,160071,Jeremy Barrett,5,5,10,6.67
72,160072,Mark White,10,7,9,8.67
73,160073,Joshua Howell,6,8,9,7.67
74,160074,Michael Norris,7,10,8,8.33
75,160075,Shawn Pearson,7,3,10,6.67
76,160076,Sophia Davenport,8,8,8,8.0
77,160077,Bruce Smith,2,4,7,4.33
78,160078,Vincent Ellis,3,5,8,5.33
79,160079,Carolyn Barnes,5,2,5,4.0
80,160080,Steven Waters MD,2,6,9,5.67
81,160081,Eric Myers,7,6,9,7.33
82,160082,Spencer Parker,7,7,3,5.67
83,160083,Ann Reyes,3,2,9,4.67
84,160084,Richard Richardson,7,3,4,4.67
85,160085,Robert Bush,2,2,7,3.67
86,160086,Brett Howard,2,4,9,5.0
87,160087,Glenn Gutierrez,3,4,8,5.0
88,160088,Mrs. Priscilla Turner,4,10,2,5.33
89,160089,Richard Blanchard,3,8,4,5.0
90,160090,Leon Gardner,9,10,10,9.67
91,160091,Tanner Hall,2,10,9,7.0
92,160092,Alicia Sharp,4,6,5,5.0
93,160093,Jennifer Sanchez,7,8,8,7.67
94,160094,James Erickson,4,2,8,4.67
95,160095,Sara Mcknight,9,3,9,7.0
96,160096,Vernon Ortiz,3,2,3,2.67
97,160097,Tasha Mcclain,2,2,9,4.33
98,160098,Joshua Williams,5,9,3,5.67
99,160099,Shelby Blair,5,5,9,6.33
