stt,mssv,name,gender,cmnd
0,170000,Norma Fisher,nam,7647593824219
1,170001,Melinda Kennedy,nữ,5938778408016
2,170002,Keith Allen,nữ,7115871484185
3,170003,Janice Johnston,nam,2094711220186
4,170004,Joanne Keller,nam,9179533041352
5,170005,Kenneth Kent,nữ,3991615109032
6,170006,Brian Green,nữ,4562087091634
7,170007,Gloria King,nam,0769845642807
8,170008,Troy Bell,nam,9924661093523
9,170009,Latoya Barton,nữ,1427878900754
10,170010,Bianca Smith,nam,3008913193442
11,170011,Rebecca Wilson,nam,8512400034855
12,170012,James Carter,nữ,5551590042294
13,170013,David Williams,nữ,1465461187755
14,170014,Nicholas Kline,nữ,6111330601688
15,170015,William Green,nữ,5110873176430
16,170016,Ronald Garcia,nam,6687577389305
17,170017,Brittney Gray,nam,7118013204075
18,170018,Kathryn Berry,nữ,3489676993002
19,170019,Terri Turner,nam,6022345007627
20,170020,Anthony Ruiz,nữ,9925185367109
21,170021,Sydney Brennan,nữ,3067537510074
22,170022,Jennifer Torres,nữ,9611611620766
23,170023,Ian Johnson,nam,3519230310450
24,170024,Tyler Anderson,nữ,7448529118942
25,170025,Paul Carter,nam,2906112648629
26,170026,Mandy Rice,nam,6573547121418
27,170027,Tyler Peterson,nữ,1734079703414
28,170028,Crystal Gill,nam,0140046896714
29,170029,Elizabeth Morgan,nữ,2164482983816
30,170030,Brenda Martinez,nữ,9728457637785
31,170031,Marc Johnson,nam,0811605019044
32,170032,Gary Jackson,nam,6272852327566
33,170033,Amber Price,nữ,2502394918456
34,170034,Michael Lewis III,nữ,5040216396837
35,170035,Stephanie Scott,nữ,1385334448647
36,170036,Jon Kim,nam,7711131263791
37,170037,Carl Pitts DVM,nam,1849834789784
38,170038,Danielle Mitchell,nữ,8601641953843
39,170039,John Perkins,nữ,8855902622812
40,170040,Heather Garza,nam,1908957740382
41,170041,James Lee,nam,6030535734524
42,170042,Mark Johnson,nữ,5105623762542
43,170043,Regina Hooper,nam,9166208298215
44,170044,Blake Pennington,nữ,7299045600715
45,170045,Paul Morgan,nam,0484870898407
46,170046,Patrick Johnson,nam,3885643195398
47,170047,Tiffany Cox,nam,6962029072507
48,170048,Carrie Jackson,nữ,8896644406448
49,170049,Sarah Brady,nữ,9657086930582
50,170050,Tony House,nữ,3781327166446
51,170051,David Farmer,nam,6097592945067
52,170052,Connor Rodriguez,nam,0562462926480
53,170053,Justin Manning,nam,5911824345448
54,170054,Cassandra Hunt,nam,1379378252780
55,170055,Lawrence Hudson,nam,8512502205930
56,170056,Russell Jones,nữ,9944976207436
57,170057,Jared Vaughn,nữ,8771086408115
58,170058,Donna Johnson,nam,8222239507603
59,170059,Shawn Ford,nữ,0290622005800
60,170060,Keith Parks,nữ,5838612695166
61,170061,Jennifer Perkins,nam,8580997340956
62,170062,Monica Bray,nam,7972257629481
63,170063,Christina Bernard,nữ,5460486064635
64,170064,James Jones,nữ,8822232308275
65,170065,Jonathan Rivera,nữ,8436567846612
66,170066,Michael Mendez,nam,0015751759473
67,170067,Mason Jackson,nam,3764092627906
68,170068,Manuel Adams,nam,6742385249271
69,170069,David Rodriguez,nữ,1202983006897
70,170070,Dana Jimenez,nam,0758511496356
71,170071,Logan Guerra,nữ,8735564564174
72,170072,Gina Perez,nam,7879936847358
73,170073,Jessica Williams,nữ,4352125030068
74,170074,Aaron Mosley,nam,2336670636094
75,170075,Anna Landry,nữ,2926395368818
76,170076,Joshua Anderson,nam,9853735760708
77,170077,Charles Alexander,nam,9281348102505
78,170078,James Cobb,nam,8352889962979
79,170079,Christina Williams,nữ,9318645732585
80,170080,Paul Walton,nam,8350063169968
81,170081,Joshua Miller,nam,3695410390985
82,170082,Veronica Reyes,nam,9410259971876
83,170083,Stacey Wilson,nam,4461545938805
84,170084,Deanna Taylor,nữ,6149181927083
85,170085,Lee Mcgee,nam,5833752480154
86,170086,Donald Harris,nam,1688611975243
87,170087,William Edwards,nam,3824906649345
88,170088,Anthony Mccarthy,nam,3141227058618
89,170089,Timothy Brown,nam,2342284802362
90,170090,Elizabeth Dillon PhD,nữ,3062686368871
91,170091,Victoria Reese,nam,6564129330081
92,170092,Charles Estrada,nam,4842073965747
93,170093,James Woodard,nam,9336348282988
94,170094,Matthew Williams,nữ,7103914032925
95,170095,Cynthia Morrow,nam,1961020984536
96,170096,Kathy Willis,nữ,0690281645930
97,170097,Erin Huang,nữ,2184869762962
98,170098,Jessica Hill,nữ,8810090216670
99,170099,Thomas Orr,nữ,6284668078282
